Date,Title,Author,Status,Re-read?,Note,Google Books,Img link
8/1/21,A Single Man,Christopher Isherwood,,FALSE,,http://books.google.com/books?id=8X7WAAAAQBAJ&dq=A+Single+Man&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=8X7WAAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
8/1/21,The Story of a Brief Marriage,Anuk Arudpragasam,Paused,FALSE,,http://books.google.com/books?id=ZenzDwAAQBAJ&pg=PP1&dq=The+Story+of+a+Brief+Marriage&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=ZenzDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
8/1/21,Where Reasons End,Yiyun Li,Paused,FALSE,,http://books.google.com/books?id=gu8OEAAAQBAJ&dq=Where+Reasons+End&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=gu8OEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
7/1/21,Imagine Me Gone,Adam Haslett,,FALSE,,http://books.google.com/books?id=giYmvgAACAAJ&dq=Imagine+Me+Gone&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=giYmvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
7/1/21,Red Pill,Hari Kunzru,,FALSE,,http://books.google.com/books?id=UEfCDwAAQBAJ&pg=PP1&dq=Red+Pill&hl=&cd=2&source=gbs_api,http://books.google.com/books/content?id=UEfCDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
7/1/21,Being Mortal,Atul Gawande,,FALSE,,http://books.google.com/books?id=UtHqjgEACAAJ&dq=Being+Mortal&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=UtHqjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
7/1/21,The Age of Turbulence,Alan Greenspan,Paused,FALSE,,http://books.google.com/books?id=GFKI9EHyFwkC&dq=The+Age+of+Turbulence&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=GFKI9EHyFwkC&printsec=frontcover&img=1&zoom=1&source=gbs_api
7/1/21,The Art of Doing Science and Engineering,Richard W. Hamming,Paused,FALSE,,http://books.google.com/books?id=aYLCAgAAQBAJ&pg=PP1&dq=The+Art+of+Doing+Science+and+Engineering&hl=&cd=4&source=gbs_api,http://books.google.com/books/content?id=aYLCAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
7/1/21,A Little Life,Hanya Yanagihara,,FALSE,,http://books.google.com/books?id=Lf99BAAAQBAJ&dq=A+Little+Life&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=Lf99BAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
6/1/21,Pachinko,Min Jin Lee,,FALSE,,http://books.google.com/books?id=4wbqxgEACAAJ&dq=Pachinko&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=4wbqxgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
9/1/20,Powerful: Building a Culture of Freedom and Responsibility,Patty McCord,Paused,FALSE,,http://books.google.com/books?id=vr4AygEACAAJ&dq=Powerful:+Building+a+Culture+of+Freedom+and+Responsibility&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=vr4AygEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
8/1/20,The Gift of Therapy,Irvin Yalom,,FALSE,,http://books.google.com/books?id=SzjSACATuroC&dq=The+Gift+of+Therapy&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=SzjSACATuroC&printsec=frontcover&img=1&zoom=1&source=gbs_api
